Guide	Gene	AP2_i10	BR1_i12	BR3_i25	BR4_i14	m1_aav_i15
Cox6a2_-_128206303.23-P1P2	Cox6a2	1561	1812	1403	2054	3232
Tyr_+_87493419.23-P1P2	Tyr	2433	2018	2483	3079	5206
Grm2_-_106656028.23-P1P2	Grm2	1866	1793	1663	2020	3576
Grik2_-_49788761.23-P1P2	Grik2	2256	3180	2491	2475	4780
Slc1a3_+_8710249.23-P1P2	Slc1a3	898	1021	908	1107	1518
Lctl_-_64117418.23-P1P2	Lctl	1466	1283	1043	1499	2316
Srr_+_74925662.23-P1P2	Srr	2473	2606	2277	2520	4428
non-targeting_00115	non-targeting	1177	1161	1213	1208	1960
Glra3_+_55940477.23-P1P2	Glra3	482	393	527	518	894
Ip6k2_+_108796059.23-P2	Ip6k2_P2	1190	1302	1281	1331	2416
Tsta3_+_75929701.23-P1P2	Tsta3	2449	2686	1828	2920	4544
non-targeting_00128	non-targeting	2040	2030	1839	2403	3356
Plod1_-_147936690.23-P1P2	Plod1	1352	2043	1534	1461	2560
Slc7a11_+_50443511.23-P1P2	Slc7a11	1940	2249	1350	1794	2815
Egfr_-_16752303.23-P1P2	Egfr	1442	1735	1473	1199	2538
Gcat_-_79030939.23-P1P2	Gcat	2092	2854	2112	2045	4180
Kat5_+_5610040.23-P1P2	Kat5	1906	2602	1959	1819	2958
Grin3a_-_49845756.23-P1P2	Grin3a	234	129	183	172	367
Slc16a5_+_115462526.23-P1	Slc16a5_P1	1616	1789	1673	1637	2592
Urod_+_116994330.23-P1P2	Urod	1433	1689	1402	1526	2793
Prkca_+_108343876.23-P1P2	Prkca	1739	1656	1794	1795	3077
Sec14l2_+_4118703.23-P1P2	Sec14l2	576	469	213	533	901
Ppm1l_+_69317137.23-P1P2	Ppm1l	2592	2875	2822	2940	4599
Fxyd2_-_45403233.23-P2	Fxyd2_P2	1310	1619	1460	1433	2320
Padi2_+_140906599.23-P1	Padi2_P1	2489	3184	2411	2725	4459
Slc7a1_+_148399476.23-P1P2	Slc7a1	822	324	692	728	1076
Cdkn2c_+_109665203.23-P2	Cdkn2c_P2	2299	2857	2434	2611	4799
Grid1_+_34819832.23-P1P2	Grid1	2460	2698	2138	2403	3785
non-targeting_00202	non-targeting	2637	3628	2504	2794	5658
Trpa1_-_14918902.23-P1P2	Trpa1	2365	2394	2713	3017	4418
Mast2_-_116464116.23-P1P2	Mast2	1934	2383	1693	1946	2847
Stk38_-_29007883.23-P1P2	Stk38	1934	2235	1501	1998	3801
Ddah2_+_35059105.23-P1P2	Ddah2	1325	487	923	1141	1892
Ppm1f_-_16896646.23-P1P2	Ppm1f	1326	1491	1284	1150	1969
Ppp5c_-_17027836.23-P1P2	Ppp5c	1219	1486	1534	1688	2735
Akap7_+_25299038.23-ENSMUST00000041984.7	Akap7	1790	1857	1604	2068	3116
Aurkc_-_6995503.23-P1P2	Aurkc	186	258	211	202	357
Ppp5c_+_17027611.23-P1P2	Ppp5c	923	1158	1147	1233	1792
Pygm_-_6397738.23-P2	Pygm_P2	3831	3154	3628	3655	5936
Alpk1_+_127780096.23-P1P2	Alpk1	2186	3654	2872	2442	4815
Grk4_+_34660423.23-P1P2	Grk4	955	901	755	802	1436
Axl_-_25788627.23-P1P2	Axl	1123	1455	967	1295	1824
Itpa_+_130668104.23-P1P2	Itpa	443	587	586	611	1090
Slc5a6_+_31048166.23-P1P2	Slc5a6	1426	1083	1245	1403	2630
Crp_+_172698134.23-P1P2	Crp	1501	1355	1261	1345	2306
Fyn_-_39369814.23-P1P2	Fyn	2740	2966	2121	2607	4164
Ppp6c_-_39226300.23-P1P2	Ppp6c	2765	2886	2197	3075	5123
Ndufc1_-_51408724.23-P1P2	Ndufc1	3248	3987	3421	3121	5598
Nucks1_-_131910558.23-P1P2	Nucks1	1864	1850	2261	2110	2631
Tlk2_+_105181596.23-P1P2	Tlk2	43	0	21	91	101
Mapk7_-_61493973.23-P1P2	Mapk7	1473	1576	1692	1623	2640
Pak7_+_136387648.23-P1P2	Pak7	1375	1407	1470	1829	2717
Ctsh_+_90054564.23-P1P2	Ctsh	1846	2035	1705	1840	3121
Serpina1d_-_103773164.23-P1P2	Serpina1d	1374	960	1142	1417	2536
Cdkl4_-_80563733.23-P1P2	Cdkl4	267	296	357	275	451
non-targeting_00169	non-targeting	2005	1988	2421	2134	4138
Ptprh_+_4603080.23-P1P2	Ptprh	714	1102	911	1135	1847
Map2k5_-_63377839.23-P1P2	Map2k5	734	351	808	701	1255
Ret_+_118197043.23-P1P2	Ret	1660	2217	1329	1813	2837
Eps8l1_-_4460934.23-P1P2	Eps8l1	1586	1835	1930	1805	2947
Nhp2l1_-_82047390.23-P1P2	Nhp2l1	2026	1444	1641	1906	2762
Mapkap1_-_34406895.23-P1P2	Mapkap1	1138	1454	1213	1563	2329
Prkcd_+_30626176.23-P1	Prkcd_P1	2535	2263	2346	2502	3819
Decr1_+_15945317.23-P1P2	Decr1	2225	3293	2606	2783	4350
Ryr1_+_29125111.23-P1P2	Ryr1	2420	2557	2295	2620	3925
Pacsin1_-_27655625.23-P1	Pacsin1_P1	1638	1141	1451	1687	2645
Cdc42bpb_-_111377425.23-P1P2	Cdc42bpb	670	722	890	681	1431
Slco2b1_+_99706438.23-P1	Slco2b1_P1	980	1452	1029	797	1526
Trpv1_-_73234384.23-P1P2	Trpv1	1432	1697	1612	1564	2780
Pdxk_-_78464832.23-P1P2	Pdxk	1542	1637	1337	1780	3422
Ramp2_+_101246422.23-P1P2	Ramp2	1473	1463	1360	1748	2482
Adck1_-_88360894.23-P1P2	Adck1	1973	1884	2214	2314	4235
Arhgap26_-_38993167.23-P1P2	Arhgap26	988	766	766	785	1456
Hsd11b2_+_105518760.23-P1P2	Hsd11b2	1404	1397	1576	1651	2591
Gzmb_-_56262012.23-P1P2	Gzmb	1591	2141	1848	1600	2773
Ndufa2_+_36744413.23-P1P2	Ndufa2	1804	1646	1629	1900	4977
Tas1r2_-_139653580.23-ENSMUST00000030510.7	Tas1r2	794	885	900	825	1341
Ins2_-_142679636.23-P1	Ins2_P1	1018	999	636	663	1407
Dgki_-_37299924.23-P1P2	Dgki	1168	1426	1112	1173	2032
Hgs_-_120467730.23-P1P2	Hgs	1470	1860	1589	1869	3175
Nmnat1_+_149485139.23-P1P2	Nmnat1	691	497	579	709	1023
Chrna6_-_27413890.23-P1P2	Chrna6	2063	2233	2313	2036	3703
Yes1_-_32611423.23-P1P2	Yes1	2193	3008	1828	2174	3886
Melk_+_44301019.23-P1P2	Melk	2304	2787	1788	2223	3920
Eif2ak2_+_78882484.23-P1P2	Eif2ak2	1701	1838	1765	2187	3427
Hsd17b7_+_169969126.23-P1P2	Hsd17b7	3101	4712	3663	3770	6105
Sgk3_-_9848385.23-P2	Sgk3_P2	1831	2784	1509	1919	3210
Adck1_+_88360589.23-P1P2	Adck1	1554	1326	1212	1525	2274
Atp4a_+_30717751.23-P2	Atp4a_P2	1798	1679	1631	1816	3198
Slc29a1_-_45593595.23-P2	Slc29a1_P2	302	201	87	216	275
Rdh12_+_79208966.23-P1P2	Rdh12	1545	1830	1535	1751	2913
Dusp19_+_80617495.23-P1P2	Dusp19	874	1094	926	960	1933
Brsk2_-_141949885.23-P1P2	Brsk2	1737	2235	2022	1674	2646
Prkcz_-_155361348.23-P2	Prkcz_P2	891	919	719	886	1406
Tph1_+_46672364.23-P2	Tph1_P2	1539	1324	1467	1634	2707
Aldh3a2_+_61267113.23-P1P2	Aldh3a2	1715	1601	1444	1652	3286
Sds_+_120476584.23-P1P2	Sds	2132	1527	2329	2408	3475
Tll2_-_41206649.23-P1P2	Tll2	1958	1893	1706	2069	3385
Gsk3b_+_38089573.23-P1P2	Gsk3b	357	412	323	341	605
non-targeting_00022	non-targeting	1528	1310	1487	1540	2745
Mgam_-_40628861.23-P1P2	Mgam	606	412	434	621	930
Slc32a1_+_158611059.23-P1P2	Slc32a1	55	36	21	40	82
Gls2_-_128194927.23-P1P2	Gls2	990	575	1150	1133	2078
Gpx5_+_21292656.23-P1P2	Gpx5	2865	2780	3012	3429	5316
Slc12a4_-_105966017.23-P1P2	Slc12a4	1248	1568	1374	1388	2289
Pip4k2c_-_127211579.23-P1P2	Pip4k2c	1733	1918	2017	2088	3327
Csnk2a1_+_152226599.23-P1P2	Csnk2a1	1377	1123	1342	1188	2501
Ppard_+_28232946.23-P1P2	Ppard	2823	3364	3401	3899	6162
Rarres1_-_67515399.23-P1P2	Rarres1	1335	1505	1485	1528	2380
Slc12a5_-_164968297.23-P1P2	Slc12a5	44	55	16	1	15
Ppbp_-_90768567.23-P1P2	Ppbp	1693	1956	2151	2099	3685
Strada_+_106193513.23-P1P2	Strada	1063	1184	855	1108	2012
Adra1a_-_66635456.23-P1P2	Adra1a	2800	2985	2533	2392	4266
Pth1r_+_110747060.23-P2	Pth1r_P2	2906	3037	2823	3247	5522
Slc7a2_+_40862708.23-P1P2	Slc7a2	165	246	124	213	482
H2-Q1_+_35320769.23-P1P2	H2-Q1	171	2	38	39	74
Hipk3_-_104494425.23-P1P2	Hipk3	2496	2157	2714	2348	4420
Cdkn1a_-_29093820.23-P1P2	Cdkn1a	2734	3147	3081	2964	4814
Glrb_+_80913536.23-P1P2	Glrb	1715	1986	1366	1798	2767
Twf2_+_106203167.23-P1P2	Twf2	1719	1631	1832	1613	2585
Fdxr_+_115276723.23-P1P2	Fdxr	3408	4132	3293	3629	6122
Mast1_-_84937297.23-P1P2	Mast1	1882	2308	1429	1917	2783
Gabra2_-_71095750.23-P1P2	Gabra2	288	386	403	342	524
Bmx_-_164257989.23-P1P2	Bmx	1030	1798	1309	1239	2080
Neu1_+_34931382.23-P1P2	Neu1	117	172	135	236	283
Prps1l1_+_34984801.23-P1P2	Prps1l1	4159	4915	3821	3899	7315
Plk4_-_40800079.23-P1P2	Plk4	97	163	164	90	262
Cdc42bpa_+_179960076.23-P1P2	Cdc42bpa	1188	1069	1113	1177	1740
Pfkfb4_-_108992079.23-P1P2	Pfkfb4	912	729	1172	1236	2067
non-targeting_00215	non-targeting	1488	1578	1438	1409	1885
C1ra_-_124512910.23-P1P2	C1ra	2558	2985	2487	2953	5208
Npy2r_-_82547931.23-P1P2	Npy2r	2856	1827	1916	2866	4425
Mast3_-_70796972.23-P2	Mast3_P2	2048	2783	1587	1904	3039
Acsl4_+_142390289.23-P1P2	Acsl4	1347	1999	1389	1754	3087
Ppp1r8_+_132843123.23-P1P2	Ppp1r8	1939	2258	2055	2291	4155
Map3k12_+_102516761.23-P1P2	Map3k12	2680	2769	2493	2977	3977
Accs_-_93849728.23-P1P2	Accs	2677	2735	2341	2714	4628
Lsm6_-_78820929.23-P1	Lsm6_P1	2179	2000	1973	2191	4007
Rdh8_+_20818556.23-P1P2	Rdh8	1964	1817	1742	2048	3727
Dph5_-_115888191.23-P1P2	Dph5	114	150	129	153	225
Pitpna_-_75588335.23-P1P2	Pitpna	2305	2138	2377	2238	3876
Gabre_+_72274724.23-P1P2	Gabre	1968	1896	1670	1870	3315
Prkaa2_-_105109602.23-P1P2	Prkaa2	62	286	79	112	211
Ephb3_+_21205226.23-P1P2	Ephb3	2230	2666	2526	2427	4026
Sphk2_+_45715141.23-P2	Sphk2_P2	3110	3183	2568	2550	3929
Krt7_+_101412468.23-P1	Krt7_P1	1961	2192	2286	2254	3826
Prkd1_-_50649104.23-P1P2	Prkd1	1552	2014	1479	1784	2942
Rps6ka3_-_159255916.23-P1P2	Rps6ka3	128	177	155	113	195
Map3k14_-_103267049.23-P1P2	Map3k14	3255	3616	2608	3314	5419
Adh4_-_138415527.23-P1P2	Adh4	547	745	738	683	1110
Ppp2r3a_+_101251656.23-ENSMUST00000075941.5	Ppp2r3a	2164	2071	1883	2218	3498
Tssk1_-_17894319.23-P1P2	Tssk1	3175	3602	2705	3020	5485
Tpsb2_+_25366396.23-P1P2	Tpsb2	626	826	652	768	1087
Rdh13_+_4445624.23-P1P2	Rdh13	1034	896	718	946	1490
Kcna1_-_126645746.23-P1P2	Kcna1	1533	1709	1381	1731	2693
Pycr2_+_180904326.23-P1P2	Pycr2	3102	3604	2722	3155	5464
Ramp2_+_101246531.23-P1P2	Ramp2	1484	1961	1198	1358	2383
H2-Ke6_-_34028048.23-P1P2	H2-Ke6	2856	3226	2688	3078	5152
Hipk3_+_104494516.23-P1P2	Hipk3	361	410	462	318	542
Dgkd_-_87853306.23-P1P2	Dgkd	1895	1994	1794	1890	3126
Dusp13_-_21748540.23-P1	Dusp13_P1	17	0	50	21	43
Cd46_-_195092042.23-P1P2	Cd46	864	1168	1281	1206	1586
Mst1r_+_107906943.23-P1P2	Mst1r	1492	1944	1395	1911	2998
Mink1_+_70562910.23-P1P2	Mink1	1681	1463	1790	1518	2731
Ppp2r2d_-_138846657.23-P1P2	Ppp2r2d	2738	2580	2129	2224	3725
Git2_-_114773403.23-P1P2	Git2	83	195	142	108	157
Got1_-_43524432.23-P1P2	Got1	1944	2112	2038	1998	3081
Car4_-_84957834.23-P1P2	Car4	1036	1025	1105	1184	1711
Gng2_-_19976974.23-P1P2	Gng2	456	675	543	530	888
Anxa3_+_96793577.23-P1P2	Anxa3	2122	2599	2278	2618	4208
Ptprj_+_90580570.23-P1P2	Ptprj	2922	2353	2670	2859	4304
Ptk2b_+_66213536.23-P2	Ptk2b_P2	2136	1781	1850	2308	3552
Nid1_-_13438122.23-P1P2	Nid1	2228	2569	1872	2086	3708
Uhmk1_+_170215356.23-P1P2	Uhmk1	2106	2772	2121	2301	3918
Ghrhr_+_55376376.23-P1P2	Ghrhr	3596	4126	3644	3635	6532
Afg3l2_-_67448931.23-P1P2	Afg3l2	111	383	220	282	380
Guca1a_+_47400139.23-P1P2	Guca1a	2175	2700	2335	2682	4429
Sstr2_-_113619348.23-P1P2	Sstr2	1811	1610	1053	1433	2075
Nfs1_-_156144102.23-P1P2	Nfs1	938	775	842	926	1682
Slc8a1_+_81649558.23-ENSMUST00000163680.2	Slc8a1	3072	3354	2819	3856	6480
Acss2_-_155518126.23-P1P2	Acss2	1907	2169	1875	2036	2950
Smg1_+_118243363.23-P1P2	Smg1	673	830	937	849	1633
Mtmr1_-_71364836.23-P1P2	Mtmr1	3214	3248	2754	3295	5141
Ndst1_-_60713124.23-ENSMUST00000169273.1	Ndst1	2175	2223	1806	2399	3764
Pstpip1_+_56090095.23-P1P2	Pstpip1	432	107	424	371	693
Car6_+_150201096.23-P1	Car6_P1	2501	1739	2318	2461	3967
Lalba_+_98482687.23-P1P2	Lalba	2569	4381	3204	3311	5754
Mtmr7_-_40634748.23-P1P2	Mtmr7	1632	1780	1773	1246	2446
Tll2_-_41206786.23-P1P2	Tll2	497	939	314	517	969
Prkaa2_+_105109816.23-P1P2	Prkaa2	722	427	634	459	938
Dusp12_-_170885179.23-P1P2	Dusp12	2050	1954	2277	1874	3586
Flt4_-_49609827.23-P1P2	Flt4	997	898	989	1095	1777
Cacna2d2_+_107400077.23-P1P2	Cacna2d2	1741	1754	1521	2012	3231
Hint1_-_54866483.23-P1P2	Hint1	1777	1464	1700	1921	3016
Suclg1_+_73248748.23-P1	Suclg1_P1	1613	2328	1835	2215	2698
Pdgfra_+_75152332.23-P1P2	Pdgfra	77	212	96	144	230
Map4k5_+_69892998.23-P1P2	Map4k5	1313	1059	1567	1726	3045
Akp3_+_87125005.23-P1P2	Akp3	2019	2439	2347	1880	3517
Dars2_+_161070610.23-P1P2	Dars2	3747	3939	3831	4137	7360
Ide_+_37337807.23-P1P2	Ide	1579	1996	1452	1755	2666
Pkib_-_57645917.23-P2	Pkib_P2	1025	1129	984	1123	1896
Asna1_+_85025076.23-P1P2	Asna1	1642	1624	1351	1652	3369
Lats2_-_57746055.23-P1	Lats2_P1	1878	1415	1944	1888	3236
Glrx_-_75840357.23-P1P2	Glrx	1527	2278	1513	1968	3397
Ptprg_+_11553943.23-P1P2	Ptprg	2737	2743	2981	3343	5053
Ndufv1_-_4012467.23-P1P2	Ndufv1	840	1347	905	1171	1821
Slc12a4_+_105965883.23-P1P2	Slc12a4	2192	2217	2115	1954	2446
Scn2a1_+_65621002.23-P1	Scn2a1_P1	718	928	492	595	1047
Serpinb6a_+_33935908.23-P1P2	Serpinb6a	236	506	307	207	695
Cs_+_128337800.23-P1P2	Cs	1206	1051	1195	1286	2101
Trib2_+_15816460.23-P1P2	Trib2	3224	3720	3820	3449	5880
Pfkp_+_6648533.23-P1P2	Pfkp	0	0	0	14	14
Car1_+_14777952.23-P1P2	Car1	863	1446	872	1390	2065
Rbks_+_31697617.23-P1P2	Rbks	1490	1934	1345	1558	2569
Iars_+_49682177.23-P1P2	Iars	201	223	184	225	683
Aars2_-_45506891.23-P1P2	Aars2	1811	1919	1857	2327	3635
Hadha_-_30154894.23-P1P2	Hadha	692	1012	796	919	1473
Bcr_-_75060632.23-P1P2	Bcr	2546	2559	2672	2748	4892
Mark4_-_19458725.23-P1P2	Mark4	1701	1896	1811	1556	2675
Car7_+_104541019.23-P1P2	Car7	1210	1320	1207	1433	2391
non-targeting_00245	non-targeting	737	742	525	496	1127
Sstr5_-_25497149.23-P1P2	Sstr5	560	604	432	659	838
Lipa_+_34527427.23-P1P2	Lipa	3944	4050	3416	3539	6549
Slc12a4_-_105966075.23-P1P2	Slc12a4	1021	1196	1116	1359	1750
Ppp1r2_-_31275269.23-P1P2	Ppp1r2	487	375	303	542	832
Urod_+_116994336.23-P1P2	Urod	514	496	667	557	980
Ppp1r3f_-_7574234.23-ENSMUST00000150787.1	Ppp1r3f	589	633	627	653	1189
Rps6kc1_-_190911761.23-P1P2	Rps6kc1	2371	2483	2667	2441	3495
Rps6ka5_+_100725012.23-P1P2	Rps6ka5	2236	2419	1988	1825	3300
Nrbp1_-_31240948.23-P1P2	Nrbp1	1574	1366	1305	1398	2318
Vrk3_+_44748620.23-P1P2	Vrk3	1828	2067	1945	1837	3213
Padi3_-_140810395.23-P1P2	Padi3	1882	2173	2200	2262	3563
Blk_+_63416985.23-P1P2	Blk	120	143	187	179	244
Stk31_-_49395577.23-P1P2	Stk31	436	1042	677	750	1248
Ripk3_+_55788777.23-P1P2	Ripk3	2295	3808	2619	2558	5200
Aldh1l1_+_90550852.23-P1P2	Aldh1l1	2939	3550	2886	3609	5866
Fth1_+_9982760.23-P1P2	Fth1	1322	1635	1479	1813	2249
Plk1_-_122159479.23-P1	Plk1_P1	1431	1324	1473	1939	2579
Qpct_-_79052150.23-P1P2	Qpct	1751	2072	1617	1689	2915
Aass_+_23132868.23-P1P2	Aass	823	776	984	858	1559
Nek8_-_78176565.23-P1P2	Nek8	1153	688	934	1065	1937
Fbp2_+_62858372.23-P1P2	Fbp2	809	1018	1040	1067	1777
Eif2ak2_+_78882509.23-P1P2	Eif2ak2	2570	2829	2284	3027	4434
Agtr2_-_21484640.23-P1P2	Agtr2	1075	1369	1000	992	2095
Kcnj1_+_32372545.23-P1P2	Kcnj1	940	807	1033	1182	1783
Tph1_+_46667317.23-P1	Tph1_P1	757	1141	667	746	1456
Eif2ak4_+_118388668.23-P1P2	Eif2ak4	1530	1194	1290	1532	2408
Rock1_-_10181842.23-P1P2	Rock1	2238	1781	2185	2175	3477
Cdk2_-_128704918.23-P1P2	Cdk2	461	313	446	554	789
Adra1d_-_131562474.23-P1P2	Adra1d	1308	2418	1427	1813	3040
Ppard_-_28232833.23-P1P2	Ppard	1439	1677	1316	1620	2538
Mprip_-_59662751.23-P1P2	Mprip	484	330	494	575	795
Otc_-_10252806.23-P1P2	Otc	1773	1759	1792	1704	3149
Lck_+_129573599.23-P2	Lck_P2	2790	2445	2335	2506	4388
Pxk_-_8098232.23-P1P2	Pxk	1981	2399	1829	1934	3698
Stk32a_-_43207852.23-P1P2	Stk32a	3652	3154	3187	3838	7052
Art1_-_102101796.23-P1P2	Art1	2149	2570	2313	2933	4735
Mmp8_-_7558493.23-P1P2	Mmp8	2126	2258	2227	1782	3295
Ctdsp2_-_126978841.23-P1P2	Ctdsp2	767	689	786	675	1186
Braf_+_39725278.23-P1P2	Braf	834	792	1100	1028	1713
Abcc2_+_43782327.23-P1P2	Abcc2	957	1367	993	1204	1925
Rpl19_+_98027186.23-P1P2	Rpl19	768	907	801	887	1495
Pak6_+_118677315.23-P2	Pak6_P2	968	601	977	968	1240
C1qb_+_136886080.23-P1P2	C1qb	883	826	798	835	1394
Spire2_+_123332714.23-P1P2	Spire2	1294	1478	1460	1551	2801
Mmp27_+_7571722.23-P1P2	Mmp27	2878	3649	2484	2877	5512
Pik3cb_+_99140086.23-P1P2	Pik3cb	1168	1540	1522	1260	2296
Slc6a9_-_117835393.23-P1P2	Slc6a9	2315	1673	2030	1921	2854
Eif2ak4_+_118388706.23-P1P2	Eif2ak4	584	990	477	580	781
Gm13305_+_42168554.23-ENSMUST00000098121.3	Gm13305	1157	1162	1108	1242	1913
Nars2_-_96951589.23-P1P2	Nars2	2904	3319	2638	2996	5233
Ifngr2_+_91561353.23-P2	Ifngr2_P2	3336	3474	2916	3320	4668
Dhodh_-_109608414.23-P1P2	Dhodh	1779	2424	1923	1870	3185
Dgkb_-_37880664.23-P1P2	Dgkb	2170	2269	1725	2100	3842
Plekha1_+_130865900.23-P1P2	Plekha1	1088	1863	1120	1036	1961
Ugt1a10_-_88055715.23-P1P2	Ugt1a10	3269	2864	3490	3909	6379
Sorcs3_-_48206165.23-P1P2	Sorcs3	2060	1810	1443	1839	2864
Itga4_+_79255594.23-P1P2	Itga4	2454	2173	1620	2040	2987
Arf4_+_26638435.23-P1P2	Arf4	840	1315	932	991	1622
Man1a_-_54075531.23-P1P2	Man1a	517	575	233	529	777
Abcc8_-_46179950.23-P1P2	Abcc8	586	1027	701	566	1001
2210010C04Rik_-_41035509.23-P1P2	2210010C04Rik	2175	1951	2404	2014	3893
Rps6kb2_+_4163273.23-P1P2	Rps6kb2	2331	1555	1651	1928	3716
Nmnat3_-_98296675.23-P1P2	Nmnat3	858	751	646	992	1447
Srr_+_74925652.23-P1P2	Srr	1217	1503	1344	1498	2606
Lat_+_126369468.23-P1P2	Lat	520	711	398	672	1075
Mylk2_+_152911381.23-P1P2	Mylk2	2533	2988	2495	2626	4596
Slc7a4_+_17576624.23-P1P2	Slc7a4	721	971	713	696	1289
Padi6_+_140742623.23-P1P2	Padi6	467	511	217	311	451
Ddc_+_11898039.23-P1	Ddc_P1	2067	2097	1857	2053	3918
Limk1_-_134688578.23-P1P2	Limk1	641	1215	694	765	1541
Camkk2_+_122779389.23-P1P2	Camkk2	1886	2355	1941	1916	3096
non-targeting_00002	non-targeting	1493	2233	1012	1890	2828
Reg1_-_78426075.23-P1P2	Reg1	698	1023	1129	1079	2017
Grin1_-_25319118.23-P1P2	Grin1	1485	1352	1097	1363	2673
Taok3_+_117133629.23-P2	Taok3_P2	1615	1616	1557	1713	2878
Rnasel_+_153749498.23-P1	Rnasel_P1	1770	2027	1764	1714	2566
Rpl13a_-_45128739.23-P1	Rpl13a_P1	2030	1764	1825	2042	2774
Tnni3_-_4522401.23-P1P2	Tnni3	970	1355	1311	1032	1905
Pggt1b_-_46280596.23-P1P2	Pggt1b	2139	2141	1878	2039	3298
Bmpr1b_+_141982188.23-P2	Bmpr1b_P2	3404	3442	3684	3567	6063
Plekha4_-_45529592.23-P1	Plekha4_P1	1911	1732	2497	2309	2804
Npr3_+_11905805.23-P1P2	Npr3	2189	2221	2025	2527	4102
Akap5_+_76324914.23-P1P2	Akap5	410	632	680	453	849
Htr1a_+_105444080.23-P1P2	Htr1a	686	632	782	644	1405
Pdk3_-_93832137.23-P1P2	Pdk3	3096	3671	2920	3164	5247
Hipk3_+_104494442.23-P1P2	Hipk3	1893	2306	2194	2136	2872
Irak3_+_120201500.23-P1P2	Irak3	1712	1868	2181	1752	3051
Ren1_+_133350690.23-P1P2	Ren1	1739	1742	1663	1770	3364
Smg1_-_118243570.23-P1P2	Smg1	416	245	555	471	648
Asrgl1_+_9135508.23-P1P2	Asrgl1	1748	2942	1383	1578	2997
Amt_-_108296888.23-P1P2	Amt	2135	2486	1899	2303	3788
Sord_+_122234813.23-P1P2	Sord	344	91	319	227	538
Irak1bp1_+_82830019.23-P1P2	Irak1bp1	2902	4218	3413	3301	5296
Pcmt1_+_7663274.23-P1P2	Pcmt1	1799	1936	1947	2056	3148
Phka2_-_160502652.23-P1P2	Phka2	219	175	262	409	376
Car11_-_45700015.23-P2	Car11_P2	1275	2077	1364	1291	2483
Clpx_-_65294301.23-P1P2	Clpx	1423	1553	891	1307	1987
Brd2_-_34120398.23-P2	Brd2_P2	1526	1693	1620	1998	2824
Pck1_+_173153085.23-P1P2	Pck1	2283	2470	2464	2510	3910
Acad8_-_26999437.23-P1P2	Acad8	2051	2065	1474	1982	2963
Prkci_+_30995849.23-P1P2	Prkci	1441	1306	1157	1121	1962
Nek11_+_105395194.23-P1P2	Nek11	2031	2173	1880	2286	3500
Vdac3_+_22593743.23-P1P2	Vdac3	2410	2812	2485	2528	4336
Pank1_+_34877859.23-P1P2	Pank1	3427	4406	3063	3620	6003
Gapdhs_+_30744178.23-P1P2	Gapdhs	694	417	654	556	1132
Cdc14b_-_64248620.23-P2	Cdc14b_P2	1398	927	1046	1278	1867
Suclg2_+_95718444.23-P1P2	Suclg2	606	1014	724	885	1206
Ncan_+_70120455.23-P1P2	Ncan	721	539	702	721	1302
Slc12a6_+_112265910.23-P1P2	Slc12a6	1473	1795	1349	1452	2346
Mapk8ip1_+_92401224.23-P1P2	Mapk8ip1	80	92	41	112	138
Hint1_-_54866604.23-P1P2	Hint1	1864	2488	2303	2180	4059
Pde10a_-_8801685.23-P1P2	Pde10a	1561	1387	1447	1662	2279
Serpina1e_-_103956471.23-P1	Serpina1e_P1	3607	4343	3244	3435	6804
Stk32b_-_37717138.23-P1P2	Stk32b	880	803	690	967	1634
Ubc_-_125389680.23-P1P2	Ubc	2366	3011	2288	2446	3698
Tuba1b_+_98934456.23-P1P2	Tuba1b	144	137	140	167	325
Fggy_+_95557599.23-P1	Fggy_P1	897	1094	695	1034	1638
Scn5a_+_119578978.23-P1P2	Scn5a	1610	1443	1767	1830	2577
Ndufb4_+_37654383.23-P1P2	Ndufb4	914	1297	938	998	1819
Ppm1a_+_72761330.23-P1P2	Ppm1a	1890	1818	1730	2560	3792
Ogdh_-_6291686.23-P1P2	Ogdh	1497	1271	1357	1345	2258
Cdk1_+_69352854.23-P1P2	Cdk1	2073	2066	1838	2680	4313
Ptdss2_+_141131360.23-P1P2	Ptdss2	1085	1738	1077	1247	1957
Chrm3_-_9878957.23-ENSMUST00000063093.9	Chrm3	3555	3322	3137	3200	6337
Ndufa8_+_36049294.23-P1P2	Ndufa8	2359	1866	2566	2313	4202
Nucks1_+_131910591.23-P1P2	Nucks1	1460	1346	1418	1641	2910
Sigmar1_-_41741302.23-P1P2	Sigmar1	1742	2122	1571	1387	2651
Fes_-_80387884.23-P1P2	Fes	2248	2589	2174	2097	3368
Etnk2_-_133363875.23-P1P2	Etnk2	596	527	653	793	1241
Glra3_-_55940450.23-P1P2	Glra3	1065	581	852	873	1705
non-targeting_00100	non-targeting	1753	2101	1542	1694	3198
Ltc4s_-_50238464.23-P1P2	Ltc4s	65	1	59	15	53
Csnk2b_+_35121019.23-P1P2	Csnk2b	2076	1897	2310	2189	4005
Mbl2_+_30232967.23-P1P2	Mbl2	2207	2564	2279	2939	4055
Sync_+_129287673.23-P1P2	Sync	1188	1198	918	944	2020
Idh3b_+_130284413.23-P1P2	Idh3b	1309	1599	1627	1310	2501
Scn11a_+_119825277.23-P1P2	Scn11a	1231	1409	1115	1351	2188
Sult2a5_-_13624342.23-P1P2	Sult2a5	1917	2020	1703	1954	3761
Ppm1b_-_84958034.23-P1P2	Ppm1b	1656	1735	1558	1610	2666
